"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Keyring","Keyring Dialog","0","0","1","0","0"
"","Login app","Test login app with authentication","0","0","1","0","0"
"","","Tests for copy buttons for indexer info","0","0","1","0","0"
"","Iris wallet send operation with zero balance","Wallet send operation with zero balance which will give error label","0","0","1","0","0"
"","About page tests","Tests for copy buttons for node info","0","0","1","0","0"
"","","Tests for copy buttons for RGB proxy info","0","0","1","0","0"
"","","Tests for copy buttons for bitcoind port info","0","0","1","0","0"
"","","Tests for copy buttons for bitcoind host info","0","0","1","0","0"
"","View unspent list","Verify outpoint in unspent list","0","0","1","0","0"
"","Login app","Test login app toggle button","0","0","1","0","0"
